Similarity \ K,1,3,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
adjusted_cosine,1.03892302,0.9572474123,0.9413762032,0.9350239762,0.9337726198,0.9333780754,0.9330628166,0.9328115084,0.9326942624,0.932686765,0.932690915,0.9326379201,0.9326228809,0.9326074782,0.9325993154,0.9325938147,0.9325782434,0.9325642951,0.9325573421,0.932549649,0.9325478331,0.9325465994
cosine,1.0752375041,1.0052156765,0.991848091,0.9851451025,0.9837961598,0.9835105191,0.9832550306,0.9832917795,0.9833237799,0.9834162654,0.9834319692,0.9834765665,0.9835301555,0.9835558881,0.9835902667,0.9836203204,0.9836524984,0.983675701,0.983698188,0.9837222811,0.9837300843,0.9837440807
jaccard_coefficient,1.0630200455,1.0028755974,0.9928989508,0.9881067501,0.9873479571,0.987201694,0.9871770381,0.9872255728,0.9872633924,0.9873163167,0.9873760372,0.9874484878,0.9874781228,0.9875151231,0.987562044,0.9875828075,0.9875985195,0.9876153564,0.9876382855,0.9876518413,0.9876669277,0.9876777908
mean_absolute_difference,1.1068938079,1.0467694658,1.0398943336,1.0405253046,1.041874702,1.0428573758,1.0434892814,1.0440265289,1.0444100075,1.0447247373,1.0449443517,1.0451737468,1.0453819758,1.0455523607,1.0457016908,1.045830043,1.0459445108,1.0460307512,1.0461063735,1.0461681778,1.0462091056,1.0462368327
mean_squared_difference,1.1091012875,1.0467241953,1.0388410141,1.0366734286,1.0370611255,1.0373504535,1.0376328828,1.0378441833,1.0380478227,1.0382205795,1.0383527478,1.0384859571,1.0385901359,1.0386581805,1.0387379966,1.0388079463,1.0388616909,1.0389031962,1.0389382014,1.0389625015,1.03898303,1.0389963571
modified_adjusted_cosine,0.9851625148,0.9413125867,0.9351772559,0.9325416744,0.9321690139,0.9320383984,0.9319324137,0.9318609947,0.9318877271,0.931898799,0.9318987159,0.9319041761,0.9319140297,0.931924652,0.9319292599,0.9319338426,0.9319366055,0.9319392542,0.93194124,0.9319435194,0.9319450384,0.931946832
modified_cosine,1.1238311557,1.0244838829,1.0079673252,0.9983388559,0.9963984863,0.995097421,0.9951684429,0.9951807334,0.9950456646,0.9948620137,0.9947606895,0.9947958314,0.994798536,0.9947762144,0.994762648,0.9947732472,0.9947887671,0.9947785995,0.9947770714,0.9947617377,0.9947467629,0.9947478379
modified_pearson_1,1.1659664667,1.1025815149,1.0959792889,1.0937906789,1.0929719534,1.0927904297,1.0927607992,1.0927011431,1.0926285839,1.0926163266,1.0926281804,1.092622728,1.0926295318,1.0926331279,1.0926235615,1.0926264831,1.092629153,1.0926342328,1.0926337785,1.0926325501,1.0926327932,1.0926322582
modified_pearson_2,1.1063693506,1.0497201797,1.0390085323,1.0335571678,1.0325757923,1.0322399241,1.0320289592,1.0319449664,1.0318962229,1.031852899,1.0318869691,1.0319063427,1.0319074718,1.0319148094,1.0319184817,1.0319204361,1.0319306719,1.0319344809,1.0319341528,1.0319371721,1.0319401501,1.0319419856
pearson,1.1332707162,1.0415539125,1.0292552077,1.0225488487,1.021614794,1.0211534727,1.020826792,1.020506066,1.0204386803,1.0204842513,1.0204397663,1.0203871684,1.02039425,1.0203899302,1.0203675813,1.0203351378,1.0203246792,1.020314489,1.0203123586,1.0203107804,1.0203120698,1.0203074663
