Similarity \ K,1,3,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
adjusted_cosine,1.1879417532,1.0660560641,1.0452478289,1.0364014321,1.0344524889,1.0338531939,1.0334855987,1.0332179084,1.0330672869,1.0330481168,1.0330430522,1.033001211,1.0329763442,1.0329570614,1.0329452378,1.0329405394,1.0329238362,1.0329141448,1.0329078678,1.0329001523,1.0328983008,1.0328968801
cosine,1.2283917391,1.1144073669,1.0950451035,1.0849976777,1.0830113583,1.0824661626,1.0821161482,1.0821074369,1.0821016153,1.0821543723,1.0821545525,1.0821830118,1.0822160671,1.0822399014,1.0822698193,1.0822956497,1.0823248244,1.0823473985,1.0823703265,1.0823940699,1.0824018212,1.0824144982
jaccard_coefficient,1.215450045,1.1132067479,1.0972542392,1.089268742,1.0879354738,1.0875571127,1.0874249923,1.0874103688,1.08741099,1.087432264,1.0874692915,1.0875344712,1.0875463167,1.0875781014,1.087615306,1.0876310972,1.0876429736,1.0876603245,1.0876799457,1.0876939158,1.087706976,1.0877199148
mean_absolute_difference,1.260962517,1.1601145567,1.1472931665,1.1450529088,1.1457169799,1.1464094633,1.1468636554,1.1473141257,1.1476571023,1.1479374469,1.1481417453,1.1483586923,1.1485496771,1.1487058514,1.1488422212,1.1489708677,1.149077021,1.149156761,1.1492297966,1.1492885961,1.1493262335,1.1493544907
mean_squared_difference,1.2627284048,1.1626201251,1.1491815746,1.1444729844,1.1443453277,1.1444431147,1.1445781752,1.1447292891,1.1449106405,1.1450609278,1.1451825984,1.1453067687,1.1454013971,1.1454689123,1.1455392455,1.1456055586,1.1456582738,1.1456933211,1.1457284502,1.1457522278,1.1457691508,1.1457813636
modified_adjusted_cosine,1.1300317787,1.0543038209,1.044149966,1.0400636518,1.039356316,1.0391070115,1.0389541112,1.0388498198,1.0388635548,1.0388587769,1.038851505,1.0388527703,1.0388582381,1.0388637037,1.0388666904,1.0388700967,1.0388726267,1.0388740727,1.0388766945,1.0388788635,1.0388799189,1.0388816902
modified_cosine,1.2785088422,1.1325839236,1.1089039577,1.0951789587,1.0923554948,1.0907359461,1.0906249191,1.090521683,1.0903349623,1.0901043737,1.0899722941,1.089972383,1.0899501269,1.0899135101,1.0898925127,1.0898962539,1.0898902879,1.0898728761,1.0898686792,1.0898547957,1.0898411545,1.0898412077
modified_pearson_1,1.3737910863,1.2681187085,1.2576113482,1.2543355892,1.2532893195,1.2531331683,1.2530782671,1.252992254,1.2528992125,1.2528785301,1.2528865109,1.2528745439,1.252877756,1.2528775215,1.2528647554,1.2528692394,1.2528698579,1.2528725068,1.2528718016,1.252871001,1.2528713831,1.2528705904
modified_pearson_2,1.289203757,1.1888438148,1.1728817421,1.1647886804,1.163345276,1.1628603038,1.1625807742,1.1624804845,1.1624174264,1.1623724414,1.1623956443,1.1624110197,1.1624104436,1.1624185604,1.1624225318,1.1624232743,1.1624314712,1.1624348357,1.1624343002,1.1624364998,1.1624389416,1.1624406192
pearson,1.3176871042,1.1754337206,1.156846657,1.1471523073,1.1455017575,1.144801744,1.1444206331,1.1440594728,1.1439526476,1.1440042315,1.1439521357,1.1438900564,1.1438853107,1.1438763286,1.1438535246,1.1438225903,1.143811556,1.1438007087,1.1437996755,1.1437959561,1.1437993037,1.1437946185
