Similarity \ K,1,3,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
adjusted_cosine,1.0927728285,0.9944814504,0.97185889,0.9596335579,0.9567659208,0.9557070213,0.955227023,0.9548068213,0.9545995629,0.9544936849,0.9544060194,0.9543216081,0.9542742418,0.9542326286,0.9542269423,0.9542122863,0.9541764699,0.954159716,0.9541481876,0.9541337107,0.9541326054,0.9541326696
cosine,1.1377316546,1.0480100809,1.029485934,1.0193643825,1.0175105854,1.0170557845,1.0168393976,1.0170377195,1.0171254196,1.0173049112,1.0173420198,1.0174137967,1.0175328013,1.0176020354,1.0176520859,1.017716626,1.0177621428,1.0178028151,1.0178230301,1.0178501382,1.0178737744,1.0179078888
jaccard_coefficient,1.133833777,1.0489353843,1.0322906756,1.0233586618,1.0215628366,1.0214437275,1.0214446167,1.0215400989,1.02161733,1.0217991692,1.0219289399,1.022020873,1.0221038503,1.0221602235,1.0221979124,1.0222401115,1.0222800813,1.0223207138,1.0223566281,1.0223773757,1.0224079711,1.0224290631
mean_absolute_difference,1.104508717,1.0311116615,1.0226659812,1.0241660275,1.0273320592,1.0297798642,1.0315570955,1.032747954,1.0336040541,1.0342319643,1.0347937937,1.0352174404,1.0356211376,1.0359466982,1.0362066889,1.0364214472,1.0365949573,1.0367448893,1.0368924345,1.0370088795,1.0371022703,1.0371713519
mean_squared_difference,1.1113003555,1.0367277932,1.0260683038,1.0223772424,1.0230911056,1.023964842,1.024723765,1.0252506537,1.025614785,1.0259542245,1.0262135771,1.0264473833,1.026647701,1.0267975238,1.0269225439,1.0270192154,1.0270941224,1.0271623479,1.027234519,1.0272881112,1.0273405713,1.0273771841
modified_adjusted_cosine,1.0322271715,0.9666436397,0.9558525173,0.9504137284,0.9499219326,0.9499362043,0.9499851224,0.9499914579,0.9500715254,0.9501093757,0.9501474494,0.9501555184,0.9501758356,0.9502028321,0.9502219014,0.9502304829,0.9502327064,0.9502407665,0.9502465798,0.9502493245,0.9502528447,0.9502537451
modified_cosine,1.1790431757,1.0699145677,1.0464408119,1.0307575244,1.0273945166,1.0263619979,1.026059414,1.0260910019,1.0259638703,1.0258781908,1.0259307453,1.0259083912,1.0259183326,1.0258735504,1.0259005613,1.0259437078,1.0259867801,1.0260260068,1.02605249,1.0260599227,1.026056637,1.0260703298
modified_pearson_1,1.2209025694,1.1286224563,1.1141130841,1.1075471113,1.1064583193,1.1058378719,1.1057226569,1.1056248424,1.1055624301,1.1054940363,1.1054538512,1.1054478829,1.105433744,1.1054300521,1.1054057254,1.105409745,1.1054050421,1.1054171761,1.1054172191,1.1054130645,1.1054086998,1.1054055778
modified_pearson_2,1.1508087705,1.077957989,1.0624349725,1.0545375112,1.053418655,1.0529070747,1.0525952652,1.0524684994,1.0524283889,1.0523851248,1.052403298,1.0524237746,1.05242642,1.0524343426,1.0524421045,1.0524500523,1.0524596082,1.0524687632,1.0524713866,1.0524818862,1.0524834459,1.0524894106
pearson,1.1778703364,1.0756211957,1.0557868759,1.0455983494,1.0433747087,1.0427129285,1.0424521819,1.0421782506,1.0420520953,1.0420478521,1.042023016,1.0419719931,1.0419733019,1.04193489,1.0419101851,1.0418750416,1.0418611159,1.0418376985,1.0418313455,1.0418299035,1.0418299728,1.0418209537
