Similarity \ K,1,3,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
adjusted_cosine,1.5833311843,1.3638031316,1.3267104481,1.30684123,1.3022244725,1.3005156494,1.2998439478,1.2993405147,1.2990593648,1.2989159036,1.2988002333,1.298716829,1.2986558733,1.2986044042,1.2985853622,1.2985645653,1.298533582,1.2985209079,1.2985108453,1.2984999268,1.2984970982,1.2984982711
cosine,1.6369960168,1.4143582584,1.3775108809,1.3579092534,1.3540430768,1.3530043804,1.3525456889,1.3526029859,1.3525821416,1.3526469823,1.3526474353,1.3526587373,1.3527126893,1.3527648039,1.3528008091,1.3528451424,1.3528866093,1.3529278091,1.3529404163,1.3529721933,1.3529855834,1.3530121483
jaccard_coefficient,1.6335547013,1.4186218803,1.3832311907,1.3641210002,1.3603079482,1.3594366963,1.3591451931,1.359056127,1.3589954687,1.3590725959,1.3591338276,1.3592020241,1.359261155,1.3592991051,1.3593239063,1.3593484283,1.3593821756,1.3594168251,1.3594447544,1.3594628807,1.3594881089,1.359512955
mean_absolute_difference,1.5957672144,1.4057074506,1.3799151226,1.370626693,1.3710910001,1.3721569761,1.3732046582,1.3739256565,1.3744978833,1.374941861,1.3753541775,1.3756808881,1.3760002816,1.3762650057,1.3764583211,1.3766274953,1.3767530607,1.3768655175,1.3769752665,1.3770625446,1.3771278918,1.3771828671
mean_squared_difference,1.6024224479,1.4191562951,1.3923845304,1.3799130602,1.3784635011,1.3784336091,1.3786649332,1.3789071995,1.3790962996,1.3793011216,1.3794775049,1.3796389363,1.3797883361,1.3799042888,1.3799935486,1.3800606737,1.3801185092,1.3801687184,1.3802190765,1.3802597723,1.3802946445,1.3803233469
modified_adjusted_cosine,1.5182116428,1.3498918196,1.3271151346,1.3163899417,1.3149329963,1.3145771935,1.3144864358,1.3143988701,1.3144195564,1.3144161773,1.3144228215,1.3144198528,1.3144231147,1.3144354838,1.3144425757,1.3144435259,1.3144441799,1.3144473209,1.3144521443,1.3144529661,1.3144532482,1.3144536372
modified_cosine,1.6790064666,1.4342450097,1.3910805908,1.3621625414,1.3552985465,1.3524137186,1.3509564945,1.3501198523,1.3494817688,1.3491467039,1.3489483522,1.3487497279,1.3485735886,1.348384631,1.3482852672,1.3482130208,1.3481521931,1.3481213724,1.348095893,1.3480729926,1.3480419137,1.3480279592
modified_pearson_1,1.7072821206,1.5159092339,1.4909923291,1.4806624902,1.4788049934,1.4781390948,1.4779433271,1.4778139153,1.4777137057,1.4776539716,1.4776240528,1.4776122203,1.477602032,1.4775979886,1.4775761727,1.4775868958,1.4775816309,1.4775876267,1.4775869192,1.4775838516,1.4775836831,1.4775815791
modified_pearson_2,1.645047191,1.4591509215,1.4295702565,1.4151757818,1.412889519,1.4120725603,1.4116603566,1.4114914884,1.4114285555,1.4113682739,1.4113578391,1.4113555475,1.4113458139,1.411349451,1.41135235,1.4113522619,1.411356428,1.4113624851,1.4113622384,1.411370113,1.4113717313,1.4113745304
pearson,1.6731934695,1.4486116779,1.413170355,1.3946977411,1.3905530088,1.3891942982,1.3886328697,1.3881625696,1.3879549322,1.3878988032,1.3878146749,1.3877397633,1.3876942446,1.387630604,1.3876059937,1.3875662098,1.387544469,1.3875185786,1.3875046849,1.3874957652,1.3874940071,1.3874851507
