Similarity,recursive_neighbors \ K,1,3,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
adjusted_cosine,1,1.2231565033,1.1035422397,1.077419464,1.0560521342,1.0491889163,1.0472537394,1.045997158,1.0446195836,1.0443307113,1.0440956781,1.0436488065,1.0436175862,1.0433990987,1.0437169574,1.0433712674,1.0431424854,1.0430401421,1.0429977229,1.0427064935,1.0425336832,1.0424316033,1.0423002197
adjusted_cosine,3,1.1772417721,1.0817710913,1.0617320541,1.0464086504,1.0406768813,1.0393734988,1.0383474473,1.0377567377,1.0374467398,1.0372175344,1.0371900854,1.0372354586,1.0370276731,1.0372845288,1.0371713018,1.0371005047,1.037069997,1.0370120588,1.0367890007,1.0367453237,1.0367353795,1.0367245756
adjusted_cosine,5,1.1723819359,1.0808509006,1.0612895578,1.0463807603,1.0407464383,1.0395577081,1.038600567,1.0379599419,1.0376399774,1.0373956612,1.0373349114,1.0373640948,1.0371543316,1.0373990685,1.0372863368,1.0372273395,1.037185805,1.0371486604,1.0369265296,1.036893847,1.0368978042,1.0368927866
adjusted_cosine,10,1.1708932713,1.0807518237,1.0614208509,1.0466409443,1.0410316188,1.0398753606,1.0390215497,1.0384260731,1.0380456009,1.037808441,1.0377529432,1.0377817233,1.0375874084,1.0378250775,1.0377176345,1.037666462,1.0376262774,1.03758845,1.0373741175,1.0373455244,1.0373478137,1.0373460877
adjusted_cosine,15,1.1706756359,1.0807589325,1.0614457807,1.0467185213,1.0411401652,1.0399649906,1.0391219699,1.0385283521,1.0381651484,1.0379350434,1.0378764349,1.037908571,1.0377106507,1.0379487845,1.037843103,1.0377927148,1.0377543923,1.0377156979,1.0375008226,1.0374712742,1.0374767882,1.0374773924
adjusted_cosine,20,1.1706745022,1.0807738814,1.0614747427,1.046776329,1.0411962564,1.0400109626,1.0391833144,1.0385925778,1.0382295285,1.0379914587,1.0379303925,1.0379641888,1.0377648017,1.0380016441,1.0378980329,1.0378478888,1.0378094282,1.0377719145,1.0375580599,1.0375276059,1.0375329963,1.0375341374
adjusted_cosine,25,1.1706454196,1.0807870831,1.0614890151,1.0467547374,1.0411757674,1.0400037591,1.0391751693,1.0385818603,1.0382222429,1.03798378,1.037922724,1.0379563314,1.0377575798,1.0379933326,1.0378901158,1.0378399446,1.0378018744,1.0377644802,1.0375510494,1.0375203276,1.037525929,1.0375269422
adjusted_cosine,30,1.1706318608,1.080782471,1.0614938743,1.0467664212,1.041191704,1.0400168714,1.0391885124,1.0385934926,1.0382323708,1.0379932286,1.0379321806,1.0379658172,1.0377674053,1.0380030312,1.0378994102,1.0378489801,1.0378112068,1.0377737931,1.0375604283,1.037529552,1.0375351725,1.0375361746
adjusted_cosine,35,1.1706352567,1.0807966396,1.061498524,1.046767983,1.0411955929,1.0400242517,1.0391937603,1.0385983131,1.0382363063,1.0379967888,1.0379358397,1.0379690246,1.0377711422,1.0380065285,1.0379029233,1.0378526574,1.0378148503,1.0377773875,1.0375640245,1.0375331097,1.0375387071,1.0375397323
adjusted_cosine,40,1.170638024,1.0807912658,1.0614919974,1.0467612174,1.041190063,1.0400190975,1.0391868502,1.0385908652,1.0382280561,1.0379887289,1.037928056,1.037961413,1.0377634464,1.037999203,1.0378951794,1.0378451882,1.037807264,1.0377697373,1.0375564198,1.0375255564,1.0375311481,1.0375321421
adjusted_cosine,45,1.1706322655,1.0808000558,1.0615016054,1.0467711853,1.0411991148,1.0400269517,1.039195567,1.0385992477,1.038236312,1.0379967205,1.0379360991,1.0379695094,1.0377714538,1.0380072821,1.0379029176,1.0378530136,1.0378151535,1.0377775636,1.0375642757,1.0375334533,1.0375390047,1.0375399872
adjusted_cosine,50,1.170635497,1.0808015704,1.0615031118,1.046773312,1.0412033206,1.0400321834,1.0391994364,1.0386032789,1.0382401112,1.0380007252,1.037939912,1.0379730589,1.0377751373,1.0380109075,1.0379065088,1.0378565834,1.0378187097,1.037781073,1.0375677612,1.0375369759,1.0375425313,1.0375434886
adjusted_cosine,55,1.1706369913,1.0808047063,1.0615041589,1.0467748059,1.0412054725,1.0400341879,1.0392017463,1.0386054356,1.038242401,1.038003236,1.0379424662,1.0379755341,1.0377775157,1.038013272,1.0379088504,1.0378589325,1.0378210639,1.0377834495,1.0375701318,1.0375393344,1.0375448837,1.0375458574
